week,elAppWT,elScanWT,urScanWT,OT
0,13.469776,0.202549,3.045350,1.010830
1,23.030067,0.193166,4.292091,1.312637
2,27.402444,0.186352,2.863401,0.505627
3,23.305946,0.159633,3.142130,1.004426
4,22.787173,0.175924,2.180815,0.585255
5,16.760845,0.188171,3.208933,1.000839
6,11.907450,0.185216,3.770463,0.735689
7,11.114445,0.188437,3.175243,0.512957
8,13.221154,0.168665,3.541729,0.309661
9,12.004955,0.182970,3.180716,0.607632
10,11.262546,0.143507,3.332873,1.025548
11,9.845597,0.152318,3.572869,1.030741
12,10.399251,0.207750,3.709953,1.303408
13,9.693296,0.137383,3.421427,0.678397
14,12.278975,0.126058,3.266321,0.681170
15,20.557713,0.221171,3.053636,0.352173
16,16.369775,0.152232,3.482033,1.053315
17,14.904972,0.154432,3.549147,1.289838
18,15.354553,0.182241,3.553423,0.476404
19,19.932029,0.166551,3.730529,1.037003
20,14.701005,0.215326,3.434768,0.979137
21,9.212085,0.146906,3.760875,0.584376
22,11.913055,0.164122,3.692651,1.182993
23,11.485246,0.128157,2.993317,0.960400
24,23.370102,0.173058,3.170369,0.381423
25,11.055275,0.203445,2.757718,0.130534
26,9.370818,0.164929,3.436167,1.374773
27,12.318465,0.196483,3.813348,0.551387
28,10.437714,0.118081,2.666033,0.279452
29,15.206607,0.198043,3.589132,1.094486
30,15.434521,0.166952,2.894992,0.955754
31,16.003818,0.178219,3.538445,1.313978
32,15.873780,0.206056,2.725471,0.715627
33,17.197027,0.195499,3.124875,0.937515
34,9.204021,0.191196,3.604717,1.308314
35,16.847775,0.182907,3.454413,0.642160
36,17.073326,0.192235,3.117646,0.968288
37,17.750642,0.179269,3.359634,0.487112
38,12.466787,0.179206,2.435615,0.472122
39,13.356348,0.146571,2.600597,0.609990
40,8.875920,0.174225,2.781555,0.355879
41,9.680788,0.155599,2.778942,0.873802
42,10.022194,0.194756,4.235309,0.898754
43,7.740709,0.120768,3.457655,1.288799
44,9.852616,0.176752,3.241406,0.885002
45,12.765889,0.151764,3.131048,0.807747
46,9.984182,0.216805,2.465155,0.221954
47,10.015219,0.165598,2.895188,0.593472
48,11.497822,0.165762,2.885345,1.104063
49,8.926762,0.149421,2.603268,0.921278
50,14.920884,0.175718,3.321350,0.930523
51,19.754597,0.161790,3.021804,0.579918
52,17.236454,0.175758,3.187986,0.791331
53,26.307747,0.186925,2.820199,0.538998
54,16.686295,0.145926,2.935080,0.967202
55,16.261934,0.174662,2.828016,0.541065
56,15.506777,0.127731,3.791919,1.724253
57,14.962534,0.164021,3.303199,0.489674
58,25.012619,0.171620,3.893374,1.050409
59,25.152350,0.192679,2.078831,0.429190
60,18.103556,0.161365,3.347402,0.888652
61,34.011001,0.206084,3.923878,1.865103
62,44.831019,0.179123,2.270937,0.563167
63,31.737065,0.183857,3.293076,0.927463
64,15.320634,0.150801,3.159543,0.551886
65,12.692159,0.190259,3.239107,1.069646
66,13.363784,0.136344,3.308634,1.516832
67,11.717024,0.162633,3.117380,0.204680
68,20.111814,0.217665,3.237760,0.626955
69,17.103444,0.170518,2.429961,0.148347
70,15.337319,0.179977,3.625530,1.168939
71,15.676504,0.112207,3.733203,0.533956
72,10.189283,0.216182,2.953174,0.853786
73,11.786345,0.151630,3.355876,1.324390
74,15.721081,0.186369,3.903897,1.326450
75,11.066908,0.207114,2.351001,0.195538
76,14.453268,0.169284,3.461305,0.891544
77,16.458530,0.158340,3.941713,0.486120
78,19.691575,0.212744,3.848198,0.603675
79,20.099613,0.183444,2.849870,0.574824
80,21.367758,0.161861,3.253852,0.592551
81,24.832659,0.183019,3.000143,0.982103
82,19.344298,0.202053,1.504069,0.179939
83,22.431793,0.175274,2.369597,0.195703
84,11.967181,0.157511,2.816009,0.842882
85,9.990135,0.210813,3.260818,0.802779
86,9.839472,0.151603,2.851496,1.021441
87,7.968526,0.190799,2.827148,0.340988
88,10.955539,0.140926,2.706822,0.526660
89,12.660275,0.179981,3.195493,0.873942
90,22.977646,0.221860,3.388791,1.377139
91,23.773901,0.191104,3.108109,0.490752
92,28.775909,0.163362,2.857358,0.616327
93,24.486444,0.169568,3.971427,0.704460
94,21.446840,0.197816,2.878392,0.864880
95,13.515158,0.171029,3.369404,1.249811
96,13.725689,0.191780,3.399756,1.071419
97,11.212880,0.150281,3.090962,0.978919
98,18.939710,0.175518,2.413823,0.205528
99,20.553582,0.180051,2.411993,0.506284
100,26.227594,0.164925,2.372515,0.609855
101,26.813442,0.173920,2.755298,0.531386
