week,elAppWT,elScanWT,urScanWT,OT
0,25.230448,0.068194,2.650564,0.654648
1,16.641024,0.087835,2.468059,0.248922
2,16.542113,0.107533,2.188959,0.343907
3,12.385403,0.090348,2.707673,0.343754
4,26.469038,0.111773,1.984418,0.188608
5,31.185693,0.075858,2.674257,0.648689
6,21.924467,0.098484,3.092540,0.663305
7,9.394199,0.071236,2.492257,0.480356
8,8.991940,0.069958,2.465502,0.107239
9,11.191395,0.078731,3.034791,0.966664
10,14.668726,0.093392,2.988271,0.396467
11,30.200513,0.089813,1.792628,0.493504
12,18.175035,0.101805,3.110239,0.708131
13,10.606379,0.075042,3.228846,0.849621
14,14.277719,0.077314,2.854680,0.753700
15,10.983726,0.079465,1.963824,0.215309
16,21.456653,0.069289,2.234132,0.857008
17,26.179693,0.118242,2.098196,0.256071
18,29.397420,0.091874,3.012207,1.050485
19,22.565390,0.104532,2.458331,0.634251
20,25.621049,0.070144,2.632877,1.015006
21,18.633726,0.066868,3.056847,0.241173
22,32.211822,0.094655,2.586496,0.768988
23,41.311332,0.091919,2.117357,0.460747
24,35.153733,0.104206,2.312625,0.553407
25,38.412536,0.107122,2.660515,0.242095
26,47.464442,0.096312,2.469445,0.545223
27,51.169843,0.108619,2.248264,0.601813
28,54.609496,0.102689,2.787660,0.301553
29,45.060544,0.081556,2.719663,0.221320
30,41.125958,0.071200,2.440323,0.698859
31,48.138678,0.093345,2.003465,0.116975
32,41.446109,0.100380,2.101170,0.208035
33,32.995127,0.086785,2.002917,0.419771
34,39.039776,0.068806,1.418222,0.232875
35,36.142899,0.086401,2.603962,0.569330
36,37.719082,0.096232,1.824450,0.143154
37,38.631027,0.086907,2.706543,0.640200
38,23.617495,0.094565,2.540583,0.600776
39,20.936558,0.078164,2.937358,0.301865
40,25.024339,0.093654,2.015915,0.134010
41,31.048731,0.090806,2.747167,0.644453
42,27.481851,0.095576,2.953093,0.641530
43,24.217430,0.100963,3.317803,0.886713
44,34.658652,0.090741,2.352485,0.121118
45,38.076906,0.081686,2.423339,0.623100
46,40.960827,0.069370,1.778050,0.196644
47,50.009037,0.112374,2.614081,0.634720
48,49.943076,0.076805,2.454755,0.183187
49,48.167435,0.071669,2.337448,0.238053
50,52.046002,0.092361,2.710018,0.294406
51,49.368612,0.087952,1.979328,0.609412
52,37.188720,0.090541,3.384298,0.716077
53,29.905720,0.071822,2.870769,0.992417
54,35.767554,0.078505,3.130173,0.331139
55,30.492726,0.080451,2.399512,0.324432
56,39.648984,0.073956,2.380941,1.044997
57,42.867307,0.072837,3.425716,0.970787
58,41.038217,0.104439,2.516178,0.291520
59,32.999799,0.055199,2.098950,0.147715
60,16.251716,0.062427,2.454917,0.602259
61,22.921782,0.094558,2.784802,1.162899
62,18.618638,0.069446,2.471613,0.640403
63,18.514310,0.092443,2.931702,0.652466
64,28.553117,0.086402,2.472418,0.293873
65,25.426010,0.080012,2.700056,0.620907
66,34.477993,0.076884,2.132041,0.145511
67,46.884566,0.076858,2.471272,0.220565
68,64.774635,0.083181,2.548528,0.722746
69,67.450477,0.106499,2.612062,0.379784
70,61.449041,0.084934,3.410241,1.301452
71,79.534562,0.091551,2.688695,0.230996
72,84.578922,0.097493,2.164142,0.826608
73,80.209736,0.082888,2.638169,0.657681
74,78.642865,0.101325,2.448094,0.113079
75,60.232626,0.074372,2.418021,1.099188
76,49.220614,0.086240,2.447012,0.328519
77,35.946514,0.091336,2.332623,0.202056
78,41.493643,0.093607,2.698403,0.392382
79,48.115083,0.084571,3.844424,0.764388
80,34.029359,0.068108,3.017313,0.686868
81,44.866334,0.095313,2.005214,0.662310
82,39.808390,0.095005,2.647481,0.617625
83,32.961675,0.110713,2.447304,0.126420
84,23.317176,0.105566,2.191454,0.122229
85,15.192563,0.074725,2.873418,0.490554
86,13.545679,0.084961,2.643150,0.400040
87,19.542252,0.079188,2.657458,0.679422
88,40.029175,0.109230,2.443275,0.232686
89,50.299307,0.069043,2.085533,0.239318
90,42.883985,0.094012,2.648741,0.565464
91,45.724445,0.078528,2.414230,0.631742
92,44.013986,0.065415,2.487955,0.601050
93,37.711327,0.089889,2.083498,0.107317
94,36.600074,0.079228,2.716585,0.504579
95,47.715772,0.105638,2.150017,0.132771
96,55.615357,0.077440,2.309216,0.460951
97,60.253736,0.072037,3.203514,0.115706
98,62.928165,0.087284,2.990750,0.513674
99,56.131370,0.099545,2.698402,0.967738
100,51.146989,0.073026,2.781507,0.841307
101,56.313818,0.073785,2.639955,0.316654
102,60.350995,0.092085,2.859333,0.550999
103,55.317667,0.089689,3.516553,0.991602
104,65.072510,0.070659,3.343117,0.747721
105,66.639796,0.097864,2.898999,1.109941
106,84.971685,0.096011,2.188397,0.598897
107,79.950667,0.080902,2.461652,0.576216
108,70.896379,0.084741,2.429643,0.137906
109,66.027497,0.101920,2.619680,0.294502
110,57.970650,0.095545,2.798776,0.734480
111,51.852341,0.083300,2.581457,0.575449
112,49.319492,0.072577,2.250482,0.411558
113,53.522593,0.065073,2.622385,0.585379
114,52.960936,0.099622,3.060635,1.124438
115,48.537903,0.097956,2.891348,0.554814
116,35.372473,0.090445,2.369836,0.205541
117,16.553919,0.066928,2.339821,0.313526
118,20.746538,0.086318,2.319624,0.668206
119,18.677632,0.076217,2.574343,0.134031
120,22.488580,0.082081,2.630751,0.681197
121,20.627895,0.073407,2.085069,0.569800
122,27.396639,0.071520,1.936253,0.231906
123,25.045645,0.085146,2.553235,0.916140
124,17.217509,0.097719,2.619037,0.941098
125,13.128894,0.059518,3.025612,0.577370
126,24.798180,0.076349,2.762329,0.616520
127,24.876782,0.068086,2.485856,0.207073
128,24.355540,0.079565,2.505538,0.187993
129,27.921658,0.094317,2.524339,0.771728
130,22.817189,0.086832,2.745743,0.161320
131,24.096032,0.114846,3.585681,0.600237
132,20.634142,0.076778,2.861388,0.301818
133,25.101903,0.086920,2.077293,0.246481
134,47.893940,0.087819,2.846859,0.313938
135,42.626945,0.097177,2.189916,0.241146
136,41.833240,0.089967,3.083894,0.276231
137,42.635995,0.062221,1.749179,0.610298
138,37.824422,0.066987,2.479733,0.265014
139,44.613794,0.082433,2.303123,0.448925
140,42.860281,0.067862,2.265846,0.442527
141,45.151566,0.102553,2.294669,0.278519
142,38.494742,0.074224,2.748018,0.377082
143,39.386607,0.089739,2.243932,0.588796
144,48.731833,0.085561,2.182357,0.069529
145,48.758335,0.065240,2.219088,0.469579
146,54.079217,0.095366,2.417167,0.553110
147,66.441328,0.083889,2.735155,0.244885
148,56.799498,0.098509,2.376449,0.621235
149,48.766396,0.083438,2.800071,0.674969
150,48.667286,0.093550,3.520632,0.636250
151,60.567958,0.074837,2.556525,0.429284
