week,elAppWT,elScanWT,urScanWT,OT
0,30.927724,0.215756,3.253042,1.240522
1,18.848044,0.164851,2.685177,1.141580
2,11.490572,0.171635,2.873936,0.711190
3,19.510024,0.154507,2.936022,0.648802
4,21.131873,0.189909,4.080894,1.724700
5,17.478996,0.201916,3.098978,0.668872
6,24.427667,0.203197,2.276954,0.547301
7,26.908223,0.202842,2.479337,0.709714
8,24.136823,0.200603,2.723796,0.518224
9,12.714195,0.231723,3.102777,0.756181
10,13.697884,0.213939,2.755620,0.997926
11,10.612503,0.144014,2.200280,0.824038
12,11.341894,0.234498,2.489319,0.928564
13,9.762565,0.156017,2.200634,0.501532
14,11.734582,0.178729,2.839300,0.107420
15,9.705392,0.187654,2.933936,1.124877
16,14.260178,0.161621,3.115199,0.937925
17,24.298861,0.140387,2.592641,0.562713
18,28.654375,0.233673,3.081743,0.284589
19,23.203486,0.194584,3.259496,0.850588
20,20.821273,0.192644,2.785317,0.174961
21,17.135117,0.187289,3.812365,0.909920
22,15.078427,0.189706,2.472749,0.486431
23,14.307763,0.153808,2.901843,0.706421
24,11.139074,0.158547,2.929276,1.097796
25,16.335998,0.183854,2.641305,0.979544
26,11.825407,0.172787,2.949979,1.233670
27,9.472328,0.140200,2.614148,0.502923
28,13.230677,0.154441,3.345821,1.769163
29,18.965092,0.203788,2.344649,0.468768
30,18.486487,0.215868,3.250607,0.909320
31,11.844447,0.156095,2.171582,0.772524
32,19.968072,0.190519,2.714890,0.195350
33,15.206569,0.170108,2.891426,0.862426
34,10.121773,0.118551,3.112994,0.261596
35,20.008026,0.170514,2.930956,0.307755
36,18.564346,0.146224,3.357300,0.589033
37,30.404907,0.162469,3.855883,1.087491
38,19.372161,0.189340,3.522340,1.099410
39,9.107950,0.184368,2.848190,1.360667
40,8.327359,0.192151,3.458930,1.088316
41,14.406559,0.189655,2.496624,0.089491
42,18.235345,0.163367,3.295732,0.659587
43,16.566814,0.185740,2.741104,0.263918
44,18.555737,0.168268,3.180852,0.975726
45,18.565937,0.177664,2.902252,0.516392
46,13.375832,0.144967,2.876167,0.247364
47,17.991884,0.203461,2.907344,0.901668
48,19.292421,0.200855,2.081899,0.118638
49,17.412487,0.185708,2.267100,0.177103
50,10.487736,0.217681,2.195830,0.631285
51,12.613773,0.153419,3.679074,0.567425
52,20.352458,0.197326,3.542577,1.240826
53,20.048178,0.169965,3.025151,0.681299
54,26.657649,0.203008,2.980912,0.938070
55,19.695669,0.180055,2.838410,0.519695
56,14.926364,0.185029,2.866363,0.218732
57,19.538413,0.186519,3.198695,0.931187
58,21.365997,0.203967,2.480796,0.539087
59,32.346193,0.168040,2.997389,0.895658
60,31.659311,0.158952,2.646993,0.091272
61,21.170729,0.160711,2.568266,0.552009
62,12.035509,0.198773,2.407945,0.247732
63,6.534780,0.187260,3.184686,0.199447
64,11.372408,0.189934,2.253447,0.593484
65,13.316456,0.189175,2.772338,0.887888
66,11.120679,0.160638,3.177529,0.554325
67,12.808191,0.205947,2.581849,0.235742
68,13.102690,0.186101,2.340476,0.306431
69,20.414531,0.212155,3.040768,1.024589
70,16.047332,0.132233,3.572197,1.423436
71,19.552115,0.142245,3.175631,1.322891
72,16.849492,0.162758,2.140549,0.604862
73,19.528883,0.186744,3.343825,0.937790
74,14.925766,0.183635,3.172714,0.617134
75,15.467465,0.184403,3.246661,1.351332
76,17.536869,0.212540,2.721444,0.666345
77,14.423265,0.163409,2.411292,0.545212
78,16.536766,0.166721,2.978070,0.511423
79,16.680823,0.179759,2.298651,0.114977
80,20.239412,0.177452,2.977629,1.212720
81,16.552669,0.193961,2.199225,0.267627
82,19.981305,0.166407,2.916021,0.804790
83,23.546134,0.147271,3.092141,0.287330
84,16.056792,0.202783,3.064614,0.479396
85,12.187729,0.165378,2.676205,0.317182
86,8.487911,0.167370,2.535425,0.560560
87,10.012478,0.147930,3.224239,0.855958
88,10.505355,0.176235,2.422454,0.117522
89,12.898805,0.169762,3.544295,1.759020
90,17.561443,0.188990,2.725445,1.353021
91,19.894741,0.178492,3.459272,0.981623
92,15.713592,0.193568,2.348844,0.120252
93,10.050075,0.158549,2.083847,0.516431
94,13.915773,0.178377,1.933589,0.586389
