week,elAppWT,elScanWT,urScanWT,OT
0,14.088284,0.093626,2.910416,0.660305
1,12.812107,0.074801,3.091766,0.934032
2,11.010819,0.072141,2.702054,1.058329
3,13.401959,0.092228,3.678936,0.967917
4,19.582240,0.093139,3.362038,1.278039
5,19.134150,0.084170,3.602653,0.992645
6,9.214278,0.071686,3.831629,0.529693
7,9.683732,0.062166,2.890778,0.568622
8,9.209156,0.071566,3.259044,1.015622
9,11.276794,0.078646,3.170289,1.063606
10,21.717218,0.086148,2.646973,0.797920
11,27.345908,0.099622,3.256529,0.678266
12,29.274953,0.095307,4.178763,1.438553
13,15.660103,0.057359,4.033227,1.258047
14,10.685469,0.076793,3.935902,1.060699
15,14.668328,0.082462,3.332016,0.652705
16,16.521862,0.087019,3.332118,0.788367
17,21.974648,0.084990,3.576067,0.607480
18,34.761929,0.088583,4.118864,1.359336
19,33.467311,0.083467,2.853240,0.597109
20,36.804486,0.085358,2.645534,0.542880
21,29.453235,0.072783,2.347514,0.541035
22,25.454704,0.049091,4.242791,0.694289
23,27.246356,0.078528,3.927288,1.349961
24,27.554261,0.072879,3.110446,0.152451
25,19.269576,0.085871,3.286528,0.912817
26,15.553579,0.073763,3.610902,1.164600
27,15.719689,0.075979,3.332443,2.004434
28,20.824972,0.075710,3.460885,0.816943
29,11.149759,0.076221,3.034389,1.042850
30,6.979818,0.065894,3.336088,1.513338
31,8.535547,0.075408,2.708804,1.062460
32,7.974292,0.074992,2.905364,0.906976
33,8.193585,0.087185,1.899379,0.046005
34,9.422677,0.092506,2.826731,0.572950
35,9.353651,0.064110,2.381051,0.479900
36,8.459028,0.092197,3.240265,0.983508
37,10.822419,0.080232,2.623695,0.453663
38,12.331971,0.076019,3.007746,0.628703
39,11.564949,0.076551,2.762277,0.925080
40,13.968156,0.101146,2.989605,1.460923
41,11.690914,0.074816,3.417492,0.996982
42,14.103019,0.076923,3.909097,0.389428
43,13.076170,0.073548,3.316032,0.688358
44,9.144723,0.068729,3.184449,0.952740
45,15.124479,0.059295,3.114322,0.527831
46,13.603728,0.075072,3.256979,1.037346
47,14.872525,0.080991,3.035392,1.005446
